,potential,step
1292,0.09375,1292
1293,0.09375,1293
1294,0.09375,1294
1295,0.09375,1295
1296,0.09375,1296
1297,0.09375,1297
1298,0.09375,1298
1299,0.09375,1299
1300,0.09375,1300
1301,0.09375,1301
1302,0.09375,1302
1303,0.09375,1303
1304,0.09375,1304
1305,0.09375,1305
1306,0.09375,1306
1307,0.09375,1307
1308,0.09375,1308
1309,0.09375,1309
1310,0.09375,1310
1311,0.09375,1311
1312,0.09375,1312
1313,0.09375,1313
1314,0.09375,1314
1315,0.09375,1315
1316,0.09375,1316
1317,0.09375,1317
1318,0.09375,1318
1319,0.09375,1319
1320,0.09375,1320
1321,0.09375,1321
1322,0.09375,1322
1323,0.09375,1323
1324,0.09375,1324
1325,0.09375,1325
1326,0.09375,1326
1327,0.09375,1327
1328,0.09375,1328
1329,0.09375,1329
1330,0.09375,1330
1331,0.09375,1331
1332,0.09375,1332
1333,0.09375,1333
1334,0.09375,1334
1335,0.09375,1335
1336,0.09375,1336
1337,0.09375,1337
1338,0.09375,1338
1339,0.09375,1339
1340,0.09375,1340
1341,0.09375,1341
1342,0.09375,1342
1343,0.09375,1343
1344,0.09375,1344
1345,0.09375,1345
1346,0.09375,1346
1347,0.09375,1347
1348,0.09375,1348
1349,0.09375,1349
1350,0.09375,1350
1351,0.09375,1351
1352,0.09375,1352
1353,0.09375,1353
1354,0.09375,1354
1355,0.09375,1355
1356,0.09375,1356
1357,0.09375,1357
1358,0.09375,1358
1359,0.09375,1359
1360,0.09375,1360
1361,0.09375,1361
1362,0.09375,1362
1363,0.09375,1363
1364,0.09375,1364
1365,0.09375,1365
1366,0.09375,1366
1367,0.09375,1367
1368,0.09375,1368
1369,0.09375,1369
1370,0.09375,1370
1371,0.09375,1371
1372,0.09375,1372
1373,0.09375,1373
1374,0.09375,1374
1375,0.09375,1375
1376,0.09375,1376
1377,0.09375,1377
1378,0.09375,1378
1379,0.09375,1379
1380,0.09375,1380
1381,0.09375,1381
1382,0.09375,1382
1383,0.09375,1383
1384,0.09375,1384
1385,0.09375,1385
1386,0.09375,1386
1387,0.09375,1387
1388,0.09375,1388
1389,0.09375,1389
1390,0.09375,1390
1391,0.09375,1391
1392,0.09375,1392
1393,0.09375,1393
1394,0.09375,1394
1395,0.09375,1395
1396,0.09375,1396
1397,0.09375,1397
1398,0.09375,1398
1399,0.09375,1399
1400,0.09375,1400
1401,0.09375,1401
1402,0.09375,1402
1403,0.09375,1403
1404,0.09375,1404
1405,0.09375,1405
1406,0.09375,1406
1407,0.09375,1407
1408,0.09375,1408
1409,0.09375,1409
1410,0.09375,1410
1411,0.09375,1411
1412,0.09375,1412
1413,0.09375,1413
1414,0.09375,1414
1415,0.09375,1415
1416,0.09375,1416
1417,0.09375,1417
1418,0.09375,1418
1419,0.09375,1419
1420,0.09375,1420
1421,0.09375,1421
1422,0.09375,1422
1423,0.09375,1423
1424,0.09375,1424
1425,0.09375,1425
1426,0.09375,1426
1427,0.0625,1427
1428,0.0625,1428
1429,0.0625,1429
1430,0.0625,1430
1431,0.0625,1431
1432,0.0625,1432
1433,0.0625,1433
1434,0.0625,1434
1435,0.0625,1435
1436,0.0625,1436
1437,0.0625,1437
1438,0.0625,1438
1439,0.0625,1439
